Word,Count
/,221
the,112
</summary>,64
<summary>,64
to,49
a,38
------------------------------------------------------------------------------,32
code,32
if,28
is,27
and,27
this,26
by,21
file,19
This,18
was,17
tool,17
Changes,17
will,17
be,17
<auto-generated>,16
Runtime,16
lost,16
regenerated,16
generated,16
Version:4.0.30319.1,16
incorrect,16
</auto-generated>,16
for,16
cause,16
behavior,16
may,16
of,14
<param,13
InitializeComponent,13
*,13
=,12
in,12
not,10
or,9
resource,9
connection,8
false,8
data,8
set,7
it,7
user,7
Interaction,6
from,6
accept,6
logic,6
Returns,6
true,6
you,6
image,5
decimal,5
assembly,5
type,5
maps,5
values,5
add,5
allow,5
<returns>Returns,5
request,5
class,5
do,5
response,4
Converts,4
players,4
authenticated,4
authentication,4
your,4
URL,4
connected,4
all,4
with,4
nothing,4
return,4
Players,3
places,3
2,3
one,3
as,3
form,3
are,3
find,3
attribute,3
settings,3
Battlelog,3
don't,3
new,3
default,3
<returns>(string),3
Version,3
|,3
items,3
can,3
using,3
battlelog,3
want,3
B2K,3
kit,3
game,3
information,3
servers,3
assign,3
only,3
free,3
an,3
server,3
en-US,3
keep,3
boolean,3
instance,3
stats,3
highlighted,3
content,3
use,3
status,3
ResGen,2
Revision,2
gzip'd,2
friendsPage,2
[assembly:,2
ComVisible,2
LoginWindow,2
map,2
execute,2
Entry,2
presets,2
<returns>Player,2
close,2
HTML,2
below,2
populate,2
login,2
control,2
slots,2
Point,2
cache,2
check,2
JSON,2
somewhere,2
found,2
MainWindow,2
rank,2
client,2
age,2
not</returns>,2
\australians,\,2
rotation,2
301,2
executable,2
\FF,\,2
where,2
PlayerPage,2
cookie,2
score,2
App,2
(or,2
charset,2
checksum,2
:(,2
Microsoft,2
encoding,2
following,2
has,2
body,2
UTF8,2
CH),2
web,2
timeout,2
start,2
auth,2
line,2
parse,2
Build,2
string,2
stream,2
dictionaries),2
located,2
dataz,2
details,2
post,2
failed,2
\(IE,\,2
total,2
through,2
that,2
timer,2
into,2
authenticate,2
lists,2
American),2
create,2
10s,2
specific,2
Application,2
theme,2
variables,2
size,2
get,2
message,2
(used,2
,2
player,2
handle,2
ServersPage,2
encode,2
:),2
places</returns>,2
connected</returns>,2
\page,\,2
error,2
en-au,2
;),2
source,2
on,2
actually,2
project,2
3,2
Please,1
\member,\,1
we,1
serv.ServerName);,1
subject,1
associated,1
(c),1
extract,1
convertData.Start();,1
friendsPage.xaml,1
StronglyTypedResourceBuilder,1
like,1
members,1
post-check-sum,1
app,1
\COM,\,1
Gate,1
10:,1
image</returns>,1
Numbers,1
quit,1
log,1
post</param>,1
Fetches,1
ServersPage.xaml,1
CurrentUICulture,1
11:,1
variable</returns>,1
'*',1
begin,1
Are,1
ranked,1
Time,1
images,1
argumentstring,1
detailed,1
need,1
http://go.microsoft.com/fwlink/?LinkID=131993,1
thread's,1
fetching,1
dictionaries,1
method,1
expansion,1
Authenticate,1
controlled,1
four,1
what,1
format,1
Resets,1
\name="\kitName"\>The\,1
slot,1
0:,1
\maps,\,1
played,1
\connected,\,1
match,1
skip,1
password,1
GetPropertyValue,1
out,1
localizable,1
maximum,1
without,1
\strings,\,1
support,1
Kill,1
list,1
<UICulture>,1
show,1
remove,1
current,1
<UICulture>CultureYouAreCodingWith</UICulture>,1
(Ms-PL),1
HTTP,1
\HandleData.getAuthToken(),\,1
\AssemblyVersion("\1.0.*"\)]\,1
btnPlayer,1
website,1
doesn't,1
KDR,1
handling,1
VS,1
\"\"\;\,1
whole,1
Copyright,1
save,1
\name="\rank"\>The\,1
any,1
6:,1
modify,1
link,1
\authenticated,\,1
pings,1
auto-generated,1
rebuild,1
makes,1
General,1
Number,1
DOWN,1
up,1
PlayerPage.xaml,1
lets,1
change,1
controls,1
US,1
(this),1
\example,\,1
5:,1
\succeeded,\,1
Ratio,1
10,1
http,1
checking,1
works,1
ThreadStart(AssignVariables);,1
types,1
License,1
\option,\,1
outputted,1
ResourceManager,1
Death,1
environment,1
class.,1
\jMessage["\message"\].ToString();\,1
output,1
\files,\,1
consists,1
name,1
8:,1
button,1
If,1
btnServers,1
plus,1
You,1
Minor,1
JObject.Parse(postData);,1
\m_gameId,\,1
t_AssignVars,1
then,1
Major,1
inside,1
\getMapRotation(serv.ServerGUID,\,1
\mode,\,1
MessageBox.Show(data);,1
\game,\,1
container,1
alive,1
Contains,1
access,1
page</returns>,1
rerun,1
object,1
Played,1
accuracy,1
<PropertyGroup>,1
GET,1
building,1
UltimateResourceFallbackLocation.Satellite)],1
\name="\e"\></param>\,1
games,1
sets,1
reserve,1
isn't,1
how,1
.csproj,1
no,1
App.xaml,1
rank</param>,1
\name="\sender"\></param>\,1
make,1
via,1
Checks,1
end,1
continue,1
exists,1
english,1
internal,1
apps,1
dictionary,1
location,1
HandleData.getLoginToken());,1
typed,1
Data,1
since,1
node,1
property,1
i,1
json,1
stored</param>,1
tab,1
Gets,1
header,1
so,1
SetPropertyValue,1
\elsewhere,\,1
(string)</param>,1
JSON?</param>,1
tree,1
fancy,1
(playerKit)</param>,1
info,1
2:,1
Joins,1
postData,1
<returns>Stores,1
\string.Format("\{\"\post-check-sum\"\:\"\{0}\"\,\"\groupPersonaIdList\"\:null}"\,\,1
\name="\url"\>The\,1
Overrides,1
JObject,1
\class,\,1
GeneratedInternalTypeHelper,1
looking,1
authenticated</returns>,1
<returns>Total,1
values:,1
specify,1
\app,\,1
MainWindow.xaml,1
followed:,1
\server,\,1
connect,1
Connect,1
exit,1
outside,1
CreateDelegate,1
post-check-sum</returns>,1
page,1
id,1
convertData,1
changing,1
'hidden',1
soldier,1
NeutralResourceLanguage,1
strongly,1
tedious,1
Retrieves,1
All,1
have,1
\name="\isServerFull"\>(bool)\,1
\name="\size"\>The\,1
setting,1
see,1
Image</returns>,1
btnFriends,1
to</param>,1
DEBUG,1
\player,\,1
MessageBox.Show(jObj.ToString());,1
previous,1
etc,1
\Executable.ExecuteMP(PlayerInfo.playerData.playerPersonaID,\,1
idea,1
\done,\,1
9:,1
next,1
Thread(t_AssignVars);,1
attributes,1
generic,1
\name="\data"\>The\,1
finished,1
Visual,1
formatted</returns>,1
shit,1
partial,1
edit,1
html,1
struct,1
rights,1
localized,1
cannot,1
For,1
COM,1
battelog,1
components,1
strongly-typed,1
formatting,1
<returns>Response,1
Fetch,1
order,1
playerStats,1
\"\en-US"\\,1
pb,1
validation,1
Battlelog.getChecksum());,1
3:,1
ThreadStart,1
shown,1
Posts,1
lookups,1
\applications,\,1
wish,1
being,1
window,1
AddEventHandler,1
count,1
<returns></returns>,1
FilterWindow,1
LoginWindow.xaml,1
To,1
other,1
Full?</param>,1
\name="\imageSize"\>The\,1
HEADERS,1
application,1
cached,1
properties,1
webpage,1
Update,1
doc,1
\gamesize,\,1
A,1
bruz,1
referer,1
