File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Q:\dev\battlerofl\battlerofl\App.xaml.cs,17,12,8,0,2,0,3,9,0,0
Q:\dev\battlerofl\battlerofl\LoginWindow.xaml.cs,112,91,53,6,12,4,9,55,0,0
Q:\dev\battlerofl\battlerofl\MainWindow.xaml.cs,130,101,60,7,17,7,12,62,0,0
Q:\dev\battlerofl\battlerofl\App.xaml,9,8,0,0,1,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\LoginWindow.xaml,22,20,0,0,2,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\MainWindow.xaml,17,16,0,0,1,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\Classes\Battlelog.cs,352,233,166,29,54,26,65,406,0,0
Q:\dev\battlerofl\battlerofl\Classes\Executable.cs,80,70,37,3,6,0,4,8,0,0
Q:\dev\battlerofl\battlerofl\Classes\HandleData.cs,87,67,43,8,18,0,2,5,0,0
Q:\dev\battlerofl\battlerofl\Classes\HTTPUtillity.cs,1206,1160,763,201,46,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\Classes\Ping.cs,22,18,12,1,4,1,0,15,0,0
Q:\dev\battlerofl\battlerofl\Classes\PlayerInfo.cs,282,206,143,23,30,1,46,209,0,0
Q:\dev\battlerofl\battlerofl\Classes\ServerData.cs,89,60,50,1,9,0,20,73,0,0
Q:\dev\battlerofl\battlerofl\Classes\SlotReserve.cs,26,23,10,0,3,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\App.g.cs,82,50,34,1,14,0,18,50,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\App.g.i.cs,82,50,34,1,14,0,18,50,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\FilterWindow.g.i.cs,1066,742,254,2,309,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\GeneratedInternalTypeHelper.g.i.cs,62,26,13,3,10,1,26,66,0,1
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\LoginWindow.g.cs,202,140,64,2,47,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\LoginWindow.g.i.cs,202,140,64,2,47,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\MainWindow.g.cs,209,144,64,2,50,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\MainWindow.g.i.cs,209,144,64,2,50,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\friendsPage.g.cs,96,64,37,2,17,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\friendsPage.g.i.cs,96,64,37,2,17,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\PlayerPage.g.cs,363,258,110,2,90,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\PlayerPage.g.i.cs,363,258,110,2,90,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\ServersPage.g.cs,1397,982,343,2,400,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages\ServersPage.g.i.cs,1397,982,343,2,400,0,15,42,0,0
Q:\dev\battlerofl\battlerofl\Pages\friendsPage.xaml.cs,101,84,48,3,13,1,4,14,0,0
Q:\dev\battlerofl\battlerofl\Pages\PlayerPage.xaml.cs,76,61,49,1,9,0,6,20,0,0
Q:\dev\battlerofl\battlerofl\Pages\ServersPage.xaml.cs,1055,857,472,29,161,2,37,179,0,0
Q:\dev\battlerofl\battlerofl\Pages\friendsPage.xaml,30,26,0,0,4,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\Pages\PlayerPage.xaml,43,41,0,0,2,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\Pages\ServersPage.xaml,118,115,0,0,3,0,0,0,0,0
Q:\dev\battlerofl\battlerofl\Properties\AssemblyInfo.cs,56,20,5,0,9,2,27,206,0,0
Q:\dev\battlerofl\battlerofl\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
Q:\dev\battlerofl\battlerofl\Properties\Settings.Designer.cs,74,56,26,5,10,1,8,30,0,1
Q:\dev\battlerofl\battlerofl\Themes\ExpressionDark.xaml,3214,3060,0,0,150,0,4,22,0,0
